# Time	Position	Velocity	Total Energy
0.0000	0.0000	4.0000	8.0000
0.0010	0.0040	4.0000	8.0000
0.0020	0.0080	4.0000	8.0000
0.0030	0.0120	4.0000	8.0000
0.0040	0.0160	4.0000	8.0000
0.0050	0.0200	4.0000	8.0000
0.0060	0.0240	3.9999	8.0000
0.0070	0.0280	3.9999	8.0000
0.0080	0.0320	3.9999	8.0000
0.0090	0.0360	3.9998	8.0000
0.0100	0.0400	3.9998	8.0000
0.0110	0.0440	3.9998	8.0000
0.0120	0.0480	3.9997	8.0000
0.0130	0.0520	3.9997	8.0000
0.0140	0.0560	3.9996	8.0000
0.0150	0.0600	3.9996	8.0000
0.0160	0.0640	3.9995	8.0000
0.0170	0.0680	3.9994	8.0000
0.0180	0.0720	3.9994	8.0000
0.0190	0.0760	3.9993	8.0000
0.0200	0.0800	3.9992	8.0000
0.0210	0.0840	3.9991	8.0000
0.0220	0.0880	3.9990	8.0000
0.0230	0.0920	3.9989	8.0000
0.0240	0.0960	3.9988	8.0000
0.0250	0.1000	3.9988	8.0000
0.0260	0.1040	3.9986	8.0000
0.0270	0.1080	3.9985	8.0000
0.0280	0.1120	3.9984	8.0000
0.0290	0.1160	3.9983	8.0000
0.0300	0.1200	3.9982	8.0000
0.0310	0.1240	3.9981	8.0000
0.0320	0.1280	3.9980	8.0000
0.0330	0.1320	3.9978	8.0000
0.0340	0.1360	3.9977	8.0000
0.0350	0.1400	3.9976	8.0000
0.0360	0.1440	3.9974	8.0000
0.0370	0.1480	3.9973	8.0000
0.0380	0.1520	3.9971	8.0000
0.0390	0.1560	3.9970	8.0000
0.0400	0.1600	3.9968	8.0000
0.0410	0.1640	3.9966	8.0000
0.0420	0.1680	3.9965	8.0000
0.0430	0.1719	3.9963	8.0000
0.0440	0.1759	3.9961	8.0000
0.0450	0.1799	3.9960	8.0000
0.0460	0.1839	3.9958	8.0000
0.0470	0.1879	3.9956	8.0000
0.0480	0.1919	3.9954	8.0000
0.0490	0.1959	3.9952	8.0000
0.0500	0.1999	3.9950	8.0000
0.0510	0.2039	3.9948	8.0000
0.0520	0.2079	3.9946	8.0000
0.0530	0.2119	3.9944	8.0000
0.0540	0.2159	3.9942	8.0000
0.0550	0.2199	3.9940	8.0000
0.0560	0.2239	3.9937	8.0000
0.0570	0.2279	3.9935	8.0000
0.0580	0.2319	3.9933	8.0000
0.0590	0.2359	3.9930	8.0000
0.0600	0.2399	3.9928	8.0000
0.0610	0.2438	3.9926	8.0000
0.0620	0.2478	3.9923	8.0000
0.0630	0.2518	3.9921	8.0000
0.0640	0.2558	3.9918	8.0000
0.0650	0.2598	3.9916	8.0000
0.0660	0.2638	3.9913	8.0000
0.0670	0.2678	3.9910	8.0000
0.0680	0.2718	3.9908	8.0000
0.0690	0.2758	3.9905	8.0000
0.0700	0.2798	3.9902	8.0000
0.0710	0.2838	3.9899	8.0000
0.0720	0.2878	3.9896	8.0000
0.0730	0.2917	3.9893	8.0000
0.0740	0.2957	3.9891	8.0000
0.0750	0.2997	3.9888	8.0000
0.0760	0.3037	3.9885	8.0000
0.0770	0.3077	3.9881	8.0000
0.0780	0.3117	3.9878	8.0000
0.0790	0.3157	3.9875	8.0000
0.0800	0.3197	3.9872	8.0000
0.0810	0.3236	3.9869	8.0000
0.0820	0.3276	3.9866	8.0000
0.0830	0.3316	3.9862	8.0000
0.0840	0.3356	3.9859	8.0000
0.0850	0.3396	3.9856	8.0000
0.0860	0.3436	3.9852	8.0000
0.0870	0.3476	3.9849	8.0000
0.0880	0.3515	3.9845	8.0000
0.0890	0.3555	3.9842	8.0000
0.0900	0.3595	3.9838	8.0000
0.0910	0.3635	3.9834	8.0000
0.0920	0.3675	3.9831	8.0000
0.0930	0.3715	3.9827	8.0000
0.0940	0.3754	3.9823	8.0000
0.0950	0.3794	3.9820	8.0000
0.0960	0.3834	3.9816	8.0000
0.0970	0.3874	3.9812	8.0000
0.0980	0.3914	3.9808	8.0000
0.0990	0.3954	3.9804	8.0000
0.1000	0.3993	3.9800	8.0000
0.1010	0.4033	3.9796	8.0000
0.1020	0.4073	3.9792	8.0000
0.1030	0.4113	3.9788	8.0000
0.1040	0.4153	3.9784	8.0000
0.1050	0.4192	3.9780	8.0000
0.1060	0.4232	3.9775	8.0000
0.1070	0.4272	3.9771	8.0000
0.1080	0.4312	3.9767	8.0000
0.1090	0.4351	3.9763	8.0000
0.1100	0.4391	3.9758	8.0000
0.1110	0.4431	3.9754	8.0000
0.1120	0.4471	3.9749	8.0000
0.1130	0.4510	3.9745	8.0000
0.1140	0.4550	3.9740	8.0000
0.1150	0.4590	3.9736	8.0000
0.1160	0.4630	3.9731	8.0000
0.1170	0.4669	3.9727	8.0000
0.1180	0.4709	3.9722	8.0000
0.1190	0.4749	3.9717	8.0000
0.1200	0.4788	3.9712	8.0000
0.1210	0.4828	3.9708	8.0000
0.1220	0.4868	3.9703	8.0000
0.1230	0.4908	3.9698	8.0000
0.1240	0.4947	3.9693	8.0000
0.1250	0.4987	3.9688	8.0000
0.1260	0.5027	3.9683	8.0000
0.1270	0.5066	3.9678	8.0000
0.1280	0.5106	3.9673	8.0000
0.1290	0.5146	3.9668	8.0000
0.1300	0.5185	3.9662	8.0000
0.1310	0.5225	3.9657	8.0000
0.1320	0.5265	3.9652	8.0000
0.1330	0.5304	3.9647	8.0000
0.1340	0.5344	3.9641	8.0000
0.1350	0.5384	3.9636	8.0000
0.1360	0.5423	3.9631	8.0000
0.1370	0.5463	3.9625	8.0000
0.1380	0.5502	3.9620	8.0000
0.1390	0.5542	3.9614	8.0000
0.1400	0.5582	3.9609	8.0000
0.1410	0.5621	3.9603	8.0000
0.1420	0.5661	3.9597	8.0000
0.1430	0.5701	3.9592	8.0000
0.1440	0.5740	3.9586	8.0000
0.1450	0.5780	3.9580	8.0000
0.1460	0.5819	3.9574	8.0000
0.1470	0.5859	3.9569	8.0000
0.1480	0.5898	3.9563	8.0000
0.1490	0.5938	3.9557	8.0000
0.1500	0.5978	3.9551	8.0000
0.1510	0.6017	3.9545	8.0000
0.1520	0.6057	3.9539	8.0000
0.1530	0.6096	3.9533	8.0000
0.1540	0.6136	3.9527	8.0000
0.1550	0.6175	3.9520	8.0000
0.1560	0.6215	3.9514	8.0000
0.1570	0.6254	3.9508	8.0000
0.1580	0.6294	3.9502	8.0000
0.1590	0.6333	3.9495	8.0000
0.1600	0.6373	3.9489	8.0000
0.1610	0.6412	3.9483	8.0000
0.1620	0.6452	3.9476	8.0000
0.1630	0.6491	3.9470	8.0000
0.1640	0.6531	3.9463	8.0000
0.1650	0.6570	3.9457	8.0000
0.1660	0.6610	3.9450	8.0000
0.1670	0.6649	3.9444	8.0000
0.1680	0.6688	3.9437	8.0000
0.1690	0.6728	3.9430	8.0000
0.1700	0.6767	3.9423	8.0000
0.1710	0.6807	3.9417	8.0000
0.1720	0.6846	3.9410	8.0000
0.1730	0.6886	3.9403	8.0000
0.1740	0.6925	3.9396	8.0000
0.1750	0.6964	3.9389	8.0000
0.1760	0.7004	3.9382	8.0000
0.1770	0.7043	3.9375	8.0000
0.1780	0.7082	3.9368	8.0000
0.1790	0.7122	3.9361	8.0000
0.1800	0.7161	3.9354	8.0000
0.1810	0.7201	3.9347	8.0000
0.1820	0.7240	3.9339	8.0000
0.1830	0.7279	3.9332	8.0000
0.1840	0.7319	3.9325	8.0000
0.1850	0.7358	3.9317	8.0000
0.1860	0.7397	3.9310	8.0000
0.1870	0.7436	3.9303	8.0000
0.1880	0.7476	3.9295	8.0000
0.1890	0.7515	3.9288	8.0000
0.1900	0.7554	3.9280	8.0000
0.1910	0.7594	3.9273	8.0000
0.1920	0.7633	3.9265	8.0000
0.1930	0.7672	3.9257	8.0000
0.1940	0.7711	3.9250	8.0000
0.1950	0.7751	3.9242	8.0000
0.1960	0.7790	3.9234	8.0000
0.1970	0.7829	3.9226	8.0000
0.1980	0.7868	3.9218	8.0000
0.1990	0.7908	3.9211	8.0000
0.2000	0.7947	3.9203	8.0000
0.2010	0.7986	3.9195	8.0000
0.2020	0.8025	3.9187	8.0000
0.2030	0.8064	3.9179	8.0000
0.2040	0.8104	3.9171	8.0000
0.2050	0.8143	3.9162	8.0000
0.2060	0.8182	3.9154	8.0000
0.2070	0.8221	3.9146	8.0000
0.2080	0.8260	3.9138	8.0000
0.2090	0.8299	3.9130	8.0000
0.2100	0.8338	3.9121	8.0000
0.2110	0.8378	3.9113	8.0000
0.2120	0.8417	3.9104	8.0000
0.2130	0.8456	3.9096	8.0000
0.2140	0.8495	3.9088	8.0000
0.2150	0.8534	3.9079	8.0000
0.2160	0.8573	3.9071	8.0000
0.2170	0.8612	3.9062	8.0000
0.2180	0.8651	3.9053	8.0000
0.2190	0.8690	3.9045	8.0000
0.2200	0.8729	3.9036	8.0000
0.2210	0.8768	3.9027	8.0000
0.2220	0.8807	3.9018	8.0000
0.2230	0.8846	3.9010	8.0000
