# Time	Position	Velocity	Total Energy
0.0000	0.0000	8.0000	32.0000
0.0010	0.0080	8.0000	32.0000
0.0020	0.0160	8.0000	32.0001
0.0030	0.0240	8.0000	32.0002
0.0040	0.0320	8.0000	32.0003
0.0050	0.0400	8.0000	32.0004
0.0060	0.0480	7.9999	32.0005
0.0070	0.0560	7.9999	32.0006
0.0080	0.0640	7.9998	32.0007
0.0090	0.0720	7.9998	32.0008
0.0100	0.0800	7.9997	32.0009
0.0110	0.0880	7.9996	32.0010
0.0120	0.0960	7.9996	32.0011
0.0130	0.1040	7.9995	32.0012
0.0140	0.1120	7.9994	32.0013
0.0150	0.1200	7.9993	32.0014
0.0160	0.1280	7.9992	32.0015
0.0170	0.1360	7.9990	32.0016
0.0180	0.1440	7.9989	32.0017
0.0190	0.1520	7.9988	32.0018
0.0200	0.1600	7.9986	32.0019
0.0210	0.1680	7.9985	32.0020
0.0220	0.1760	7.9983	32.0020
0.0230	0.1840	7.9982	32.0021
0.0240	0.1920	7.9980	32.0022
0.0250	0.2000	7.9978	32.0023
0.0260	0.2080	7.9976	32.0024
0.0270	0.2160	7.9974	32.0025
0.0280	0.2240	7.9972	32.0026
0.0290	0.2320	7.9970	32.0027
0.0300	0.2400	7.9968	32.0028
0.0310	0.2480	7.9965	32.0029
0.0320	0.2560	7.9963	32.0030
0.0330	0.2640	7.9960	32.0031
0.0340	0.2720	7.9958	32.0032
0.0350	0.2799	7.9955	32.0033
0.0360	0.2879	7.9952	32.0034
0.0370	0.2959	7.9950	32.0035
0.0380	0.3039	7.9947	32.0036
0.0390	0.3119	7.9944	32.0037
0.0400	0.3199	7.9941	32.0038
0.0410	0.3279	7.9938	32.0039
0.0420	0.3359	7.9934	32.0040
0.0430	0.3439	7.9931	32.0041
0.0440	0.3519	7.9928	32.0042
0.0450	0.3599	7.9924	32.0043
0.0460	0.3679	7.9921	32.0044
0.0470	0.3759	7.9917	32.0044
0.0480	0.3839	7.9914	32.0045
0.0490	0.3919	7.9910	32.0046
0.0500	0.3998	7.9906	32.0047
0.0510	0.4078	7.9902	32.0048
0.0520	0.4158	7.9898	32.0049
0.0530	0.4238	7.9894	32.0050
0.0540	0.4318	7.9890	32.0051
0.0550	0.4398	7.9886	32.0052
0.0560	0.4478	7.9881	32.0053
0.0570	0.4558	7.9877	32.0054
0.0580	0.4638	7.9872	32.0055
0.0590	0.4717	7.9868	32.0056
0.0600	0.4797	7.9863	32.0057
0.0610	0.4877	7.9858	32.0058
0.0620	0.4957	7.9854	32.0059
0.0630	0.5037	7.9849	32.0060
0.0640	0.5117	7.9844	32.0061
0.0650	0.5197	7.9839	32.0062
0.0660	0.5276	7.9834	32.0063
0.0670	0.5356	7.9828	32.0064
0.0680	0.5436	7.9823	32.0065
0.0690	0.5516	7.9818	32.0066
0.0700	0.5596	7.9812	32.0067
0.0710	0.5676	7.9807	32.0067
0.0720	0.5755	7.9801	32.0068
0.0730	0.5835	7.9796	32.0069
0.0740	0.5915	7.9790	32.0070
0.0750	0.5995	7.9784	32.0071
0.0760	0.6074	7.9778	32.0072
0.0770	0.6154	7.9772	32.0073
0.0780	0.6234	7.9766	32.0074
0.0790	0.6314	7.9760	32.0075
0.0800	0.6394	7.9754	32.0076
0.0810	0.6473	7.9747	32.0077
0.0820	0.6553	7.9741	32.0078
0.0830	0.6633	7.9734	32.0079
0.0840	0.6713	7.9728	32.0080
0.0850	0.6792	7.9721	32.0081
0.0860	0.6872	7.9715	32.0082
0.0870	0.6952	7.9708	32.0083
0.0880	0.7031	7.9701	32.0084
0.0890	0.7111	7.9694	32.0085
0.0900	0.7191	7.9687	32.0086
0.0910	0.7270	7.9680	32.0087
0.0920	0.7350	7.9673	32.0088
0.0930	0.7430	7.9665	32.0089
0.0940	0.7509	7.9658	32.0089
0.0950	0.7589	7.9651	32.0090
0.0960	0.7669	7.9643	32.0091
0.0970	0.7748	7.9635	32.0092
0.0980	0.7828	7.9628	32.0093
0.0990	0.7908	7.9620	32.0094
0.1000	0.7987	7.9612	32.0095
0.1010	0.8067	7.9604	32.0096
0.1020	0.8146	7.9596	32.0097
0.1030	0.8226	7.9588	32.0098
0.1040	0.8306	7.9580	32.0099
0.1050	0.8385	7.9572	32.0100
0.1060	0.8465	7.9564	32.0101
0.1070	0.8544	7.9555	32.0102
0.1080	0.8624	7.9547	32.0103
0.1090	0.8703	7.9538	32.0104
0.1100	0.8783	7.9530	32.0105
0.1110	0.8863	7.9521	32.0106
0.1120	0.8942	7.9512	32.0107
0.1130	0.9022	7.9503	32.0108
0.1140	0.9101	7.9494	32.0109
0.1150	0.9181	7.9485	32.0110
0.1160	0.9260	7.9476	32.0110
0.1170	0.9339	7.9467	32.0111
0.1180	0.9419	7.9458	32.0112
0.1190	0.9498	7.9448	32.0113
0.1200	0.9578	7.9439	32.0114
0.1210	0.9657	7.9429	32.0115
0.1220	0.9737	7.9420	32.0116
0.1230	0.9816	7.9410	32.0117
0.1240	0.9896	7.9401	32.0118
0.1250	0.9975	7.9391	32.0119
0.1260	1.0054	7.9381	32.0120
0.1270	1.0134	7.9371	32.0121
0.1280	1.0213	7.9361	32.0122
0.1290	1.0292	7.9351	32.0123
0.1300	1.0372	7.9340	32.0124
0.1310	1.0451	7.9330	32.0125
0.1320	1.0530	7.9320	32.0126
0.1330	1.0610	7.9309	32.0127
0.1340	1.0689	7.9299	32.0128
0.1350	1.0768	7.9288	32.0129
0.1360	1.0848	7.9277	32.0130
0.1370	1.0927	7.9267	32.0130
0.1380	1.1006	7.9256	32.0131
0.1390	1.1085	7.9245	32.0132
0.1400	1.1165	7.9234	32.0133
0.1410	1.1244	7.9223	32.0134
0.1420	1.1323	7.9212	32.0135
0.1430	1.1402	7.9200	32.0136
0.1440	1.1481	7.9189	32.0137
0.1450	1.1561	7.9178	32.0138
0.1460	1.1640	7.9166	32.0139
0.1470	1.1719	7.9155	32.0140
0.1480	1.1798	7.9143	32.0141
0.1490	1.1877	7.9131	32.0142
0.1500	1.1956	7.9120	32.0143
0.1510	1.2035	7.9108	32.0144
0.1520	1.2115	7.9096	32.0145
0.1530	1.2194	7.9084	32.0146
0.1540	1.2273	7.9072	32.0147
0.1550	1.2352	7.9059	32.0148
0.1560	1.2431	7.9047	32.0149
0.1570	1.2510	7.9035	32.0149
0.1580	1.2589	7.9022	32.0150
0.1590	1.2668	7.9010	32.0151
0.1600	1.2747	7.8997	32.0152
0.1610	1.2826	7.8985	32.0153
0.1620	1.2905	7.8972	32.0154
0.1630	1.2984	7.8959	32.0155
0.1640	1.3063	7.8946	32.0156
0.1650	1.3142	7.8933	32.0157
0.1660	1.3221	7.8920	32.0158
0.1670	1.3300	7.8907	32.0159
0.1680	1.3379	7.8894	32.0160
0.1690	1.3457	7.8880	32.0161
0.1700	1.3536	7.8867	32.0162
0.1710	1.3615	7.8854	32.0163
0.1720	1.3694	7.8840	32.0164
0.1730	1.3773	7.8826	32.0165
0.1740	1.3852	7.8813	32.0166
0.1750	1.3930	7.8799	32.0167
0.1760	1.4009	7.8785	32.0167
0.1770	1.4088	7.8771	32.0168
0.1780	1.4167	7.8757	32.0169
0.1790	1.4246	7.8743	32.0170
0.1800	1.4324	7.8729	32.0171
0.1810	1.4403	7.8715	32.0172
0.1820	1.4482	7.8700	32.0173
0.1830	1.4560	7.8686	32.0174
0.1840	1.4639	7.8671	32.0175
