# Time	Position	Velocity	Total Energy
50.0000	-1.0487	-3.8601	8.0000
49.9900	-1.0873	-3.8494	8.0000
49.9800	-1.1257	-3.8383	8.0000
49.9700	-1.1640	-3.8269	8.0000
49.9600	-1.2022	-3.8151	8.0000
49.9500	-1.2403	-3.8028	8.0000
49.9400	-1.2783	-3.7903	8.0000
49.9300	-1.3161	-3.7773	8.0000
49.9200	-1.3538	-3.7639	8.0000
49.9100	-1.3914	-3.7502	8.0000
49.9000	-1.4288	-3.7361	8.0000
49.8900	-1.4661	-3.7216	8.0000
49.8800	-1.5033	-3.7068	8.0000
49.8700	-1.5403	-3.6916	8.0000
49.8600	-1.5771	-3.6760	8.0000
49.8500	-1.6138	-3.6600	8.0000
49.8400	-1.6503	-3.6437	8.0000
49.8300	-1.6867	-3.6270	8.0000
49.8200	-1.7228	-3.6100	8.0000
49.8100	-1.7589	-3.5926	8.0000
49.8000	-1.7947	-3.5748	8.0000
49.7900	-1.8304	-3.5567	8.0000
49.7800	-1.8658	-3.5382	8.0000
49.7700	-1.9011	-3.5194	8.0000
49.7600	-1.9362	-3.5002	8.0000
49.7500	-1.9711	-3.4806	8.0000
49.7400	-2.0058	-3.4607	8.0001
49.7300	-2.0403	-3.4405	8.0001
49.7200	-2.0746	-3.4199	8.0001
49.7100	-2.1087	-3.3990	8.0001
49.7000	-2.1426	-3.3778	8.0001
49.6900	-2.1763	-3.3562	8.0001
49.6800	-2.2097	-3.3342	8.0001
49.6700	-2.2430	-3.3120	8.0001
49.6600	-2.2760	-3.2894	8.0001
49.6500	-2.3088	-3.2665	8.0001
49.6400	-2.3413	-3.2432	8.0001
49.6300	-2.3736	-3.2196	8.0001
49.6200	-2.4057	-3.1957	8.0001
49.6100	-2.4375	-3.1715	8.0001
49.6000	-2.4691	-3.1470	8.0001
49.5900	-2.5005	-3.1221	8.0001
49.5800	-2.5316	-3.0970	8.0001
49.5700	-2.5624	-3.0715	8.0001
49.5600	-2.5930	-3.0457	8.0001
49.5500	-2.6233	-3.0196	8.0001
49.5400	-2.6534	-2.9933	8.0001
49.5300	-2.6832	-2.9666	8.0001
49.5200	-2.7127	-2.9396	8.0001
49.5100	-2.7420	-2.9123	8.0001
49.5000	-2.7710	-2.8848	8.0001
49.4900	-2.7997	-2.8569	8.0001
49.4800	-2.8281	-2.8288	8.0001
49.4700	-2.8563	-2.8003	8.0001
49.4600	-2.8841	-2.7716	8.0001
49.4500	-2.9117	-2.7427	8.0001
