# Time	Position	Velocity	Total Energy
0.0000	0.0000	2.0000	2.0000
1.0000	2.0000	2.0000	4.0000
2.0000	4.0000	2.0000	10.0000
3.0000	5.1585	0.3171	13.3555
4.0000	4.5663	-1.5015	11.5528
5.0000	2.9236	-1.7838	5.8647
6.0000	1.8967	-0.2702	1.8352
7.0000	2.5854	1.6477	4.6996
8.0000	4.5125	2.2065	12.6157
9.0000	6.0620	0.8925	18.7724
10.0000	5.9652	-1.0862	18.3817
11.0000	4.4669	-1.9104	11.8014
12.0000	3.1005	-0.8224	5.1447
13.0000	3.2781	1.1776	6.0664
14.0000	4.9923	2.2507	14.9944
15.0000	6.8229	1.4104	24.2704
16.0000	7.2427	-0.5708	26.3911
17.0000	6.0216	-1.8714	19.8808
18.0000	4.4381	-1.2956	10.6877
19.0000	4.1040	0.6272	8.6179
20.0000	5.4822	2.1292	17.2938
21.0000	7.4615	1.8294	29.5104
22.0000	8.3780	0.0036	35.0954
23.0000	7.5449	-1.6698	29.8567
24.0000	5.8840	-1.6521	18.6753
25.0000	5.0782	0.0404	12.8947
26.0000	6.0241	1.8515	19.8591
27.0000	8.0080	2.1162	34.3035
28.0000	9.3617	0.5911	43.9955
29.0000	8.9965	-1.3216	41.3415
30.0000	7.4039	-1.8634	29.1454
31.0000	6.2041	-0.5362	19.3894
32.0000	6.6560	1.4399	23.1879
33.0000	8.4999	2.2480	38.6512
34.0000	10.1965	1.1451	52.6399
35.0000	10.3417	-0.8547	53.8407
36.0000	8.9579	-1.9129	41.9517
37.0000	7.4732	-1.0565	28.4827
38.0000	7.4085	0.9271	27.8727
39.0000	8.9791	2.2141	42.7633
40.0000	10.8969	1.6214	60.6853
41.0000	11.5545	-0.3062	66.7997
42.0000	10.5032	-1.7964	56.7717
43.0000	8.8654	-1.4792	40.3913
44.0000	8.3027	0.3539	34.5300
45.0000	9.4883	2.0174	47.0493
46.0000	11.4881	1.9820	67.9519
47.0000	12.6192	0.2802	79.6609
48.0000	11.9976	-1.5234	73.1313
49.0000	10.3506	-1.7705	55.1352
50.0000	9.3484	-0.2340	43.7234
51.0000	10.0681	1.6735	52.0837
52.0000	12.0040	2.1982	74.4639
53.0000	13.5320	0.8578	91.9254
54.0000	13.4032	-1.1155	90.4445
55.0000	11.8918	-1.9073	72.5260
56.0000	10.5432	-0.7897	55.8918
57.0000	10.7533	1.2098	58.5480
58.0000	12.4846	2.2529	80.4700
59.0000	14.3013	1.3805	103.2162
60.0000	14.6889	-0.6052	108.0657
61.0000	13.4470	-1.8787	92.1757
62.0000	11.8731	-1.2691	71.2910
63.0000	11.5702	0.6632	67.1547
64.0000	12.9726	2.1415	86.4367
65.0000	14.9467	1.8068	113.3349
66.0000	15.8335	-0.0332	125.3511
67.0000	14.9735	-1.6869	113.5255
68.0000	13.3132	-1.6338	89.9548
69.0000	12.5349	0.0773	78.5649
70.0000	13.5101	1.8731	93.0156
71.0000	15.4980	2.1027	122.3046
72.0000	16.8268	0.5549	141.7244
73.0000	16.4306	-1.3472	135.8904
74.0000	14.8296	-1.8549	111.6789
75.0000	13.6515	-0.5013	93.3078
76.0000	14.1354	1.4690	100.9833
77.0000	15.9921	2.2445	130.3932
78.0000	17.6706	1.1123	156.7433
79.0000	17.7834	-0.8867	158.5176
80.0000	16.3827	-1.9147	136.0295
81.0000	14.9122	-1.0264	111.7129
82.0000	14.8796	0.9613	111.1634
83.0000	16.4708	2.2211	138.1108
84.0000	18.3787	1.5947	170.1601
85.0000	19.0050	-0.3421	180.6537
86.0000	17.9297	-1.8085	162.3731
87.0000	16.2974	-1.4563	133.8625
88.0000	15.7645	0.3906	124.3364
89.0000	16.9770	2.0343	146.1776
90.0000	18.9758	1.9635	181.9683
91.0000	20.0792	0.2433	201.6167
92.0000	19.4285	-1.5447	189.9266
93.0000	17.7779	-1.7567	159.5689
94.0000	16.8007	-0.1977	141.1507
95.0000	17.5512	1.6988	155.4658
96.0000	19.4953	2.1893	192.4304
97.0000	21.0014	0.8228	220.8681
98.0000	20.8406	-1.1444	217.8210
99.0000	19.3167	-1.9036	188.3789
