# Time	Position	Velocity	Total Energy
0.0000	0.0000	2.0000	2.0000
4.0000	8.0000	-14.0000	130.0000
8.0000	-112.0000	194.0000	25090.0000
12.0000	1560.0000	-2702.0000	4867202.0000
16.0000	-21728.0000	37634.0000	944211970.0000
20.0000	302632.0000	-524174.0000	183172254850.0000
24.0000	-4215120.0000	7300802.0000	35534473228802.0000
28.0000	58709048.0000	-101687054.0000	6893504634132610.0000
32.0000	-817711552.0000	1416317954.0000	1337304364548497408.0000
36.0000	11389252680.0000	-19726764302.0000	259430153217774354432.0000
40.0000	-158631825968.0000	274758382274.0000	50328112419883674763264.0000
44.0000	2209456310872.0000	-3826890587534.0000	9763394379304215727046656.0000
48.0000	-30773756526240.0000	53301709843202.0000	1894048181472597910791127040.0000
52.0000	428623135056488.0000	-742397047217294.0000	367435583811304670435286712320.0000
56.0000	-5969950134264592.0000	10340256951198914.0000	71280609211211639352770330361856.0000
60.0000	83150678744647808.0000	-144021200269567520.0000	13828070751391250059615983290548224.0000
64.0000	-1158139552290804736.0000	2005956546822746368.0000	2682574445160691499075323510359326720.0000
68.0000	16130803053326618624.0000	-27939370455248883712.0000	520405614290422773640807187248379330560.0000
72.0000	-224673103194281869312.0000	389145229826661613568.0000	100956006597896854969882330049112413569024.0000
76.0000	3129292641666619408384.0000	-5420093847118013267968.0000	19584944874377699076967954472255778002567168.0000
80.0000	-43585423880138390503424.0000	75492168629825533116416.0000	3799378349622675915860805308952344095472222208.0000
84.0000	607066641680270840823808.0000	-1051470266970439359135744.0000	737059814881924685590181938671083640690359402496.0000
88.0000	-8455347559643652785438720.0000	14645091568956324664311808.0000	142985804708743762041385105325009438087984011280384.0000
92.0000	117767799193330874597769216.0000	-203979811698418116812865536.0000	27738509053681405840427970079863002938718062521614336.0000
96.0000	-1640293841146988520716369920.0000	2841072272208897141064597504.0000	5381127770609483793302932181849563549418162695098597376.0000
