# Time	Position	Velocity	Total Energy
48.0000	-30773756526240.0000	-53301709843202.0000	1894048181472597910791127040.0000
44.0000	2209456310872.0000	3826890587534.0000	9763394379304215727046656.0000
40.0000	-158631825968.0000	-274758382274.0000	50328112419883674763264.0000
36.0000	11389252680.0000	19726764302.0000	259430153217774354432.0000
32.0000	-817711552.0000	-1416317954.0000	1337304364548497408.0000
28.0000	58709048.0000	101687054.0000	6893504634132610.0000
24.0000	-4215120.0000	-7300802.0000	35534473228802.0000
20.0000	302632.0000	524174.0000	183172254850.0000
16.0000	-21728.0000	-37634.0000	944211970.0000
12.0000	1560.0000	2702.0000	4867202.0000
8.0000	-112.0000	-194.0000	25090.0000
4.0000	8.0000	14.0000	130.0000
